TimeStamp - 2021-03-10_11-28-20-909   |    CPU Utilization - 100   |    Memory Utilization - 3857   |    Package TDP - 16.998485272914850384600211299   |    Max Core Frequency - 2.5796871049687495002833935018   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 86   |    Processor Cache Frequency - 2.5939789819494584837545126354   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.4526462093862815884476534
TimeStamp - 2021-03-10_11-28-22-509   |    CPU Utilization - 100   |    Memory Utilization - 3856   |    Package TDP - 15.56854347786904858861708284   |    Max Core Frequency - 2.5622248453363932056706330936   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 82   |    Processor Cache Frequency - 2.5939206351079136690647482015   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.4279610071942446043165468
TimeStamp - 2021-03-10_11-28-23-873   |    CPU Utilization - 100   |    Memory Utilization - 3856   |    Package TDP - 16.982530791277868342004680549   |    Max Core Frequency - 2.5811684448533174844758734176   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.5925426141772151898734177214   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.8449521518987341772151898
TimeStamp - 2021-03-10_11-28-25-785   |    CPU Utilization - 100   |    Memory Utilization - 3852   |    Package TDP - 15.320524810846900760622327668   |    Max Core Frequency - 2.5484895110405538606966861185   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 83   |    Processor Cache Frequency - 2.5946906639080459770114942529   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.7537424226348364279398762
TimeStamp - 2021-03-10_11-28-27-132   |    CPU Utilization - 100   |    Memory Utilization - 3840   |    Package TDP - 16.918277132235700584922157231   |    Max Core Frequency - 2.5859752378834324826481156881   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.4946144959568733153638814015   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.6303782210242587601078167
TimeStamp - 2021-03-10_11-28-29-044   |    CPU Utilization - 100   |    Memory Utilization - 3834   |    Package TDP - 16.668659049728074376394780281   |    Max Core Frequency - 2.5712430583051573848999676549   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 86   |    Processor Cache Frequency - 2.5925492565248226950354609930   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.8477623758865248226950355
TimeStamp - 2021-03-10_11-28-30-525   |    CPU Utilization - 100   |    Memory Utilization - 3842   |    Package TDP - 16.66272959888659451033299884   |    Max Core Frequency - 2.579311923360312630095543672   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5926684430659536541889483066   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.8981874509803921568627451
TimeStamp - 2021-03-10_11-28-32-000   |    CPU Utilization - 100   |    Memory Utilization - 3843   |    Package TDP - 16.241714028871901660058812304   |    Max Core Frequency - 2.5368184117777913069991537778   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 86   |    Processor Cache Frequency - 2.5968209816235504014272970562   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.6550306868867082961641392
TimeStamp - 2021-03-10_11-28-33-574   |    CPU Utilization - 100   |    Memory Utilization - 3842   |    Package TDP - 16.077448129520702603836094436   |    Max Core Frequency - 2.5476742982538261584080639433   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5907774444049733570159857906   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.0981495559502664298401422
TimeStamp - 2021-03-10_11-28-35-258   |    CPU Utilization - 100   |    Memory Utilization - 3839   |    Package TDP - 15.78695415196454366906382549   |    Max Core Frequency - 2.4845364010150578050375531916   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5944769638297872340425531916   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.6633308510638297872340426
