TimeStamp - 2021-03-10_11-37-18-646   |    CPU Utilization - 13.970588235294117647058823530   |    Memory Utilization - 3739   |    Package Temperature - 56   |    Max Core Frequency - 2.2511090448180691276394374429   |    Processor Cache Frequency - 2.8891915945936073059360730594   |    Processor Graphics Frequency - 1095.9002600182648401826484018   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 4.1902607374077988924377857947   |    Core 0 Frequency - 2.19101868961853   |    Core 1 Frequency - 2.25953039673392
TimeStamp - 2021-03-10_11-37-19-684   |    CPU Utilization - 10.984848484848484848484848480   |    Memory Utilization - 3738   |    Package Temperature - 56   |    Max Core Frequency - 2.091215438740146371766523416   |    Processor Cache Frequency - 2.5961874096602387511478420570   |    Processor Graphics Frequency - 1098.3869810101010101010101010   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 3.3726383504909055682666229234   |    Core 0 Frequency - 2.09428646040462   |    Core 1 Frequency - 2.03281470601739
TimeStamp - 2021-03-10_11-37-21-384   |    CPU Utilization - 91.20370370370370370370370370   |    Memory Utilization - 3870   |    Package Temperature - 66   |    Max Core Frequency - 2.4413223379075149544155328466   |    Processor Cache Frequency - 2.5928973105109489051094890510   |    Processor Graphics Frequency - 1096.9950159854014598540145985   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 13.091943932049367493947274702   |    Core 0 Frequency - 2.36936725008609   |    Core 1 Frequency - 2.44800982006832
TimeStamp - 2021-03-10_11-37-23-304   |    CPU Utilization - 100   |    Memory Utilization - 3861   |    Package Temperature - 77   |    Max Core Frequency - 2.5803857615608657192505031559   |    Processor Cache Frequency - 2.5935091058611361587015329126   |    Processor Graphics Frequency - 1097.2538524797114517583408476   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.66586545435691538526518839   |    Core 0 Frequency - 2.58600423254934   |    Core 1 Frequency - 2.58600577190514
TimeStamp - 2021-03-10_11-37-24-900   |    CPU Utilization - 100   |    Memory Utilization - 3868   |    Package Temperature - 78   |    Max Core Frequency - 2.5724767288100686605690352942   |    Processor Cache Frequency - 2.5936857590588235294117647060   |    Processor Graphics Frequency - 1097.3285903710407239819004525   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.746647599383534639480268806   |    Core 0 Frequency - 2.57873607085095   |    Core 1 Frequency - 2.57873933707884
TimeStamp - 2021-03-10_11-37-26-375   |    CPU Utilization - 100   |    Memory Utilization - 3865   |    Package Temperature - 81   |    Max Core Frequency - 2.5602182996625878526078990082   |    Processor Cache Frequency - 2.5951012183228133453561767359   |    Processor Graphics Frequency - 1097.9274385211902614968440036   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.652703327654283474299291386   |    Core 0 Frequency - 2.56505037261804   |    Core 1 Frequency - 2.5650512327318
TimeStamp - 2021-03-10_11-37-28-370   |    CPU Utilization - 100   |    Memory Utilization - 3856   |    Package Temperature - 81   |    Max Core Frequency - 2.5849066404760426741919855465   |    Processor Cache Frequency - 2.5948204726618705035971223022   |    Processor Graphics Frequency - 1097.8086615107913669064748202   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.709908561400539818949328834   |    Core 0 Frequency - 2.59233048602217   |    Core 1 Frequency - 2.59233799440602
TimeStamp - 2021-03-10_11-37-30-115   |    CPU Utilization - 100   |    Memory Utilization - 3855   |    Package Temperature - 85   |    Max Core Frequency - 2.5774520931015408795664811489   |    Processor Cache Frequency - 2.5914421770197486535008976660   |    Processor Graphics Frequency - 1096.3793825852782764811490125   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 17.230774967453103106370125803   |    Core 0 Frequency - 2.58595428893958   |    Core 1 Frequency - 2.58596371606903
TimeStamp - 2021-03-10_11-37-31-753   |    CPU Utilization - 100   |    Memory Utilization - 3852   |    Package Temperature - 86   |    Max Core Frequency - 2.5781160201969209287091521738   |    Processor Cache Frequency - 2.5947500865585585585585585585   |    Processor Graphics Frequency - 1097.7788827747747747747747748   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.981919245146314871439406158   |    Core 0 Frequency - 2.58299811311097   |    Core 1 Frequency - 2.58299776333998
TimeStamp - 2021-03-10_11-37-33-468   |    CPU Utilization - 100   |    Memory Utilization - 3846   |    Package Temperature - 87   |    Max Core Frequency - 2.5800414694773102085315121952   |    Processor Cache Frequency - 2.5924571843902439024390243903   |    Processor Graphics Frequency - 1096.8088087804878048780487805   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.94326063793790331185835259   |    Core 0 Frequency - 2.58754563812051   |    Core 1 Frequency - 2.58754816127032
TimeStamp - 2021-03-10_11-37-35-269   |    CPU Utilization - 100   |    Memory Utilization - 3853   |    Package Temperature - 88   |    Max Core Frequency - 2.5870435948684905191621208296   |    Processor Cache Frequency - 2.5969929942651036970243462579   |    Processor Graphics Frequency - 1098.7278052660054102795311091   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.005371790827977867051898376   |    Core 0 Frequency - 2.59003908039478   |    Core 1 Frequency - 2.59003885288123
