TimeStamp - 2021-03-10_12-23-04-515   |    CPU Utilization - 100   |    Memory Utilization - 3808   |    Package Temperature - 84   |    Max Core Frequency - 2.5887415042582561490131418248   |    Processor Cache Frequency - 2.5942122853839205058717253839   |    Processor Graphics Frequency - 1097.5513515085817524841915086   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.421097147712928580846833   |    Core 0 Frequency - 2.59451622248546   |    Core 1 Frequency - 2.59451701350469
TimeStamp - 2021-03-10_12-23-05-908   |    CPU Utilization - 100   |    Memory Utilization - 3808   |    Package Temperature - 82   |    Max Core Frequency - 2.5634336945914544577041591319   |    Processor Cache Frequency - 2.5920967522603978300180831825   |    Processor Graphics Frequency - 1096.6563182640144665461121157   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.928046328203300096007488742   |    Core 0 Frequency - 2.57124663169096   |    Core 1 Frequency - 2.57124954927926
TimeStamp - 2021-03-10_12-23-07-035   |    CPU Utilization - 100   |    Memory Utilization - 3812   |    Package Temperature - 85   |    Max Core Frequency - 2.5805315732205536394950852996   |    Processor Cache Frequency - 2.5951341740834845735027223232   |    Processor Graphics Frequency - 1097.9413813430127041742286752   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.978136950767508815459817286   |    Core 0 Frequency - 2.58536633497886   |    Core 1 Frequency - 2.58537001954551
TimeStamp - 2021-03-10_12-23-08-468   |    CPU Utilization - 100   |    Memory Utilization - 3811   |    Package Temperature - 80   |    Max Core Frequency - 2.5572221000681317299057230769   |    Processor Cache Frequency - 2.5929355432911392405063291140   |    Processor Graphics Frequency - 1097.0111913924050632911392405   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 1   |    Package TDP - 15.317663906295789928732115509   |    Core 0 Frequency - 2.56013151043638   |    Core 1 Frequency - 2.56013013601373
TimeStamp - 2021-03-10_12-23-09-842   |    CPU Utilization - 100   |    Memory Utilization - 3810   |    Package Temperature - 88   |    Max Core Frequency - 2.573905289192441391934790279   |    Processor Cache Frequency - 2.5923405113951395139513951394   |    Processor Graphics Frequency - 1096.7594471287128712871287128   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.961008447314247203629881345   |    Core 0 Frequency - 2.58151000005107   |    Core 1 Frequency - 2.58151030795672
TimeStamp - 2021-03-10_12-23-11-363   |    CPU Utilization - 99.73684210526315789473684211   |    Memory Utilization - 3810   |    Package Temperature - 82   |    Max Core Frequency - 2.5619758545858247246726287263   |    Processor Cache Frequency - 2.5950673514001806684733514002   |    Processor Graphics Frequency - 1097.9131102077687443541102078   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.429149923606348188146823101   |    Core 0 Frequency - 2.56684451911882   |    Core 1 Frequency - 2.56684560357522
TimeStamp - 2021-03-10_12-23-12-997   |    CPU Utilization - 100   |    Memory Utilization - 3803   |    Package Temperature - 85   |    Max Core Frequency - 2.5875739161332823206554048692   |    Processor Cache Frequency - 2.5961651223805229936880072136   |    Processor Graphics Frequency - 1098.3775517763751127141568981   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.992968132891877641928320172   |    Core 0 Frequency - 2.59139610341027   |    Core 1 Frequency - 2.59139600744012
TimeStamp - 2021-03-10_12-23-14-747   |    CPU Utilization - 100   |    Memory Utilization - 3811   |    Package Temperature - 83   |    Max Core Frequency - 2.5790187594180207051788658864   |    Processor Cache Frequency - 2.5947640649955555555555555554   |    Processor Graphics Frequency - 1097.7847967288888888888888888   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 17.013738572741215135514841624   |    Core 0 Frequency - 2.57257707779046   |    Core 1 Frequency - 2.57259206405972
TimeStamp - 2021-03-10_12-23-16-211   |    CPU Utilization - 100   |    Memory Utilization - 3806   |    Package Temperature - 87   |    Max Core Frequency - 2.587549506086819936265608541   |    Processor Cache Frequency - 2.5968534272597864768683274022   |    Processor Graphics Frequency - 1098.6687576868327402135231317   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.896515716150108884683891075   |    Core 0 Frequency - 2.59068191499294   |    Core 1 Frequency - 2.59068480538956
TimeStamp - 2021-03-10_12-23-17-536   |    CPU Utilization - 100   |    Memory Utilization - 3801   |    Package Temperature - 88   |    Max Core Frequency - 2.5796273548537668553517519931   |    Processor Cache Frequency - 2.5915573407971656333038086804   |    Processor Graphics Frequency - 1096.4281057218777679362267494   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.746655228755132065302037091   |    Core 0 Frequency - 2.58803114908378   |    Core 1 Frequency - 2.58803088384835
